"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr16",2148052,2151951,3900,"*",9.85,10.64,8.01,2.63,1.12e-139,1.89e-134,"chr16_2148052_2151951"
"chr2",237296847,237299250,2404,"*",8.96,5.68,9.89,-4.21,6.71e-132,5.66e-127,"chr2_237296847_237299250"
"chr19",53866056,53870121,4066,"*",10.91,9.97,11.47,-1.5,2.97e-105,1.67e-100,"chr19_53866056_53870121"
"chr16",89564606,89566376,1771,"*",8.9,9.78,6.3,3.47,9.13e-103,3.85e-98,"chr16_89564606_89566376"
"chr17",16442919,16445134,2216,"*",8.92,9.8,6.25,3.55,3.54e-101,1.19e-96,"chr17_16442919_16445134"
"chr6",31171140,31173516,2377,"*",8.6,9.54,5.07,4.47,2.35e-99,6.59e-95,"chr6_31171140_31173516"
"chr1",173860945,173863238,2294,"*",8.87,9.73,6.47,3.25,2.54e-93,6.12e-89,"chr1_173860945_173863238"
"chr17",10125702,10128498,2797,"*",8.74,6.4,9.6,-3.19,2.13e-92,4.49e-88,"chr17_10125702_10128498"
"chr11",86172833,86175084,2252,"*",8.51,5.71,9.4,-3.69,5.5e-91,1.03e-86,"chr11_86172833_86175084"
"chr6",114010746,114012009,1264,"*",8.41,5.37,9.32,-3.95,1.58e-89,2.66e-85,"chr6_114010746_114012009"
"chr16",77288338,77290240,1903,"*",8.36,4.65,9.3,-4.65,4.82e-89,7.38e-85,"chr16_77288338_77290240"
"chr1",29156583,29157538,956,"*",8.36,4.53,9.31,-4.78,1.19e-87,1.67e-83,"chr1_29156583_29157538"
"chr1",202229171,202230761,1591,"*",8.33,4,9.3,-5.29,1.33e-85,1.72e-81,"chr1_202229171_202230761"
"chr19",50794094,50797040,2947,"*",8.86,9.69,6.7,2.99,1.46e-84,1.75e-80,"chr19_50794094_50797040"
"chr20",49289823,49291337,1515,"*",8.38,9.28,5.5,3.78,7.34e-83,8.25e-79,"chr20_49289823_49291337"
"chr6",73513448,73516315,2868,"*",9.46,10.22,7.7,2.52,3.05e-82,3.21e-78,"chr6_73513448_73516315"
"chr5",134539468,134540447,980,"*",8.45,9.43,3.63,5.8,8.85e-82,8.77e-78,"chr5_134539468_134540447"
"chr17",57517298,57519721,2424,"*",8.57,6.24,9.41,-3.17,1.94e-80,1.82e-76,"chr17_57517298_57519721"
"chr8",29736628,29738221,1594,"*",8.64,6.4,9.48,-3.08,4.54e-80,4.02e-76,"chr8_29736628_29738221"
"chr2",28389654,28391903,2250,"*",9.64,8.13,10.36,-2.22,7.29e-80,6.14e-76,"chr2_28389654_28391903"
"chr5",177468370,177469832,1463,"*",8.84,9.65,6.83,2.82,3.15e-79,2.46e-75,"chr5_177468370_177469832"
"chr11",62849816,62852272,2457,"*",9,9.77,7.23,2.53,3.22e-79,2.46e-75,"chr11_62849816_62852272"
"chr5",174337186,174338930,1745,"*",9.01,7.19,9.79,-2.59,1.23e-77,9.01e-74,"chr5_174337186_174338930"
"chr9",106920966,106922260,1295,"*",8.5,6.19,9.35,-3.16,2.25e-77,1.58e-73,"chr9_106920966_106922260"
"chr15",55782998,55785125,2128,"*",8.58,6.4,9.41,-3.01,1.17e-76,7.86e-73,"chr15_55782998_55785125"
"chr11",65487358,65490306,2949,"*",10.25,9.2,10.86,-1.66,2.79e-76,1.81e-72,"chr11_65487358_65490306"
"chr11",44823864,44825567,1704,"*",8.81,9.62,6.86,2.75,3e-76,1.87e-72,"chr11_44823864_44825567"
"chr9",127388090,127389268,1179,"*",8.12,4.4,9.07,-4.67,6.42e-76,3.86e-72,"chr9_127388090_127389268"
"chr9",116437278,116438487,1210,"*",8.1,4.46,9.04,-4.58,8.98e-76,5.22e-72,"chr9_116437278_116438487"
