"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr2",10477400,10478450,1051,"*",7.77,3.85,8.72,-4.87,1.79e-69,2.49e-64,"chr2_10477400_10478450"
"chr20",33013961,33015109,1149,"*",7.94,5.31,8.82,-3.51,8.19e-67,5.7e-62,"chr20_33013961_33015109"
"chr5",177468370,177469832,1463,"*",8.94,7.49,9.65,-2.16,3.48e-63,1.61e-58,"chr5_177468370_177469832"
"chr1",223022474,223023714,1241,"*",8.9,7.45,9.61,-2.17,1.77e-56,6.14e-52,"chr1_223022474_223023714"
"chr11",57236826,57237944,1119,"*",7.52,4.63,8.42,-3.79,1.07e-53,2.98e-49,"chr11_57236826_57237944"
"chr9",107130894,107131916,1023,"*",7.69,5.27,8.55,-3.28,1.45e-53,3.36e-49,"chr9_107130894_107131916"
"chr22",23547423,23549565,2143,"*",7.43,2.99,8.39,-5.4,2.24e-52,4.46e-48,"chr22_23547423_23549565"
"chr11",94866208,94867659,1452,"*",7.39,4.37,8.3,-3.92,2.97e-51,5.16e-47,"chr11_94866208_94867659"
"chr6",170464189,170465273,1085,"*",7.31,3.06,8.27,-5.21,1.28e-50,1.98e-46,"chr6_170464189_170465273"
"chr3",72334918,72335849,932,"*",7.71,5.6,8.54,-2.94,1.46e-47,2.04e-43,"chr3_72334918_72335849"
"chr5",53487302,53488622,1321,"*",7.17,3.2,8.12,-4.92,2.24e-46,2.83e-42,"chr5_53487302_53488622"
"chr8",20234263,20235419,1157,"*",8.68,7.34,9.36,-2.02,1.54e-44,1.79e-40,"chr8_20234263_20235419"
"chr5",124628601,124629863,1263,"*",7.6,5.48,8.43,-2.95,3.11e-43,3.33e-39,"chr5_124628601_124629863"
"chr6",40790848,40791663,816,"*",7.05,3.35,7.99,-4.65,7.2e-43,7.01e-39,"chr6_40790848_40791663"
"chr3",150106220,150107903,1684,"*",7.99,6.29,8.75,-2.46,7.56e-43,7.01e-39,"chr3_150106220_150107903"
"chr11",94734430,94735291,862,"*",8.54,7.16,9.23,-2.07,9.96e-43,8.66e-39,"chr11_94734430_94735291"
"chr2",65579309,65580304,996,"*",8.09,6.52,8.83,-2.3,6.89e-42,5.64e-38,"chr2_65579309_65580304"
"chr1",67700398,67701353,956,"*",7.79,5.93,8.58,-2.65,3.91e-41,3.02e-37,"chr1_67700398_67701353"
"chr4",3835493,3837506,2014,"*",8.07,6.36,8.83,-2.46,4.52e-41,3.31e-37,"chr4_3835493_3837506"
"chr3",119795039,119795736,698,"*",8.22,6.77,8.93,-2.15,1.02e-40,7.07e-37,"chr3_119795039_119795736"
"chr11",67626363,67630981,4619,"*",10.37,9.71,10.82,-1.11,3.41e-40,2.26e-36,"chr11_67626363_67630981"
"chr17",16442919,16445134,2216,"*",9.16,7.98,9.8,-1.82,4.39e-40,2.78e-36,"chr17_16442919_16445134"
