"seqnames","start","end","width","strand","Conc","Conc_group1","Conc_group2","Fold","p.value","FDR","PeakID"
"chr1",204296324,204297045,722,"*",8.57,4.95,9.51,-4.56,4.49e-94,1.05e-88,"chr1_204296324_204297045"
"chr15",67048840,67049996,1157,"*",8.36,4.12,9.32,-5.2,7.86e-90,9.16e-85,"chr15_67048840_67049996"
"chr8",42720286,42721133,848,"*",8.41,4.85,9.35,-4.5,6.19e-89,4.81e-84,"chr8_42720286_42721133"
"chr10",78359476,78360275,800,"*",8.8,5.79,9.71,-3.91,3.83e-87,2.23e-82,"chr10_78359476_78360275"
"chr7",131619822,131621073,1252,"*",9.14,6.89,9.98,-3.09,1.21e-84,5.66e-80,"chr7_131619822_131621073"
"chr2",73089471,73090053,583,"*",8.47,2.91,9.45,-6.54,3.1e-80,1.2e-75,"chr2_73089471_73090053"
"chr10",3094552,3095804,1253,"*",8.3,5.07,9.22,-4.14,3.62e-78,1.21e-73,"chr10_3094552_3095804"
"chr17",10127390,10128257,868,"*",8.2,4.37,9.15,-4.78,3.67e-77,1.07e-72,"chr17_10127390_10128257"
"chr17",81419161,81419826,666,"*",8.43,5.45,9.33,-3.88,1.88e-76,4.86e-72,"chr17_81419161_81419826"
"chr15",73940820,73941954,1135,"*",8.09,3.93,9.05,-5.12,5.51e-73,1.28e-68,"chr15_73940820_73941954"
"chr19",40714950,40716531,1582,"*",9.49,7.84,10.24,-2.4,1.65e-71,3.5e-67,"chr19_40714950_40716531"
"chr2",170715164,170716636,1473,"*",8.38,9.31,4.88,4.43,3.56e-71,6.91e-67,"chr2_170715164_170716636"
"chr9",125473041,125473806,766,"*",8.29,5.53,9.18,-3.64,3.94e-71,7.07e-67,"chr9_125473041_125473806"
"chr2",231714418,231715349,932,"*",8.5,9.42,5.42,3.99,1.3e-70,2.16e-66,"chr2_231714418_231715349"
"chr4",106048473,106048997,525,"*",8.2,2.82,9.19,-6.37,3.28e-70,5.09e-66,"chr4_106048473_106048997"
"chr11",62850280,62851898,1619,"*",8.31,9.24,4.86,4.38,5.48e-70,7.98e-66,"chr11_62850280_62851898"
"chr15",35306089,35306876,788,"*",8.09,4.87,9.01,-4.14,6.18e-70,8.47e-66,"chr15_35306089_35306876"
"chr21",37153718,37154353,636,"*",8.09,3.2,9.06,-5.86,6.54e-70,8.47e-66,"chr21_37153718_37154353"
"chr1",204624314,204625179,866,"*",8.39,5.19,9.31,-4.12,9.24e-70,1.13e-65,"chr1_204624314_204625179"
"chr22",34914854,34915396,543,"*",7.98,3.54,8.95,-5.4,1.1e-69,1.29e-65,"chr22_34914854_34915396"
"chr3",45092272,45092863,592,"*",7.92,3.89,8.88,-4.98,7.04e-69,7.82e-65,"chr3_45092272_45092863"
"chr22",39310521,39311702,1182,"*",8.63,9.51,6.04,3.47,3.7e-68,3.92e-64,"chr22_39310521_39311702"
"chr17",74647969,74648465,497,"*",8.12,3,9.1,-6.09,3.87e-68,3.92e-64,"chr17_74647969_74648465"
"chr5",149422593,149423694,1102,"*",8.43,5.91,9.3,-3.39,1.69e-67,1.64e-63,"chr5_149422593_149423694"
"chr8",92627754,92628296,543,"*",8.17,5.31,9.06,-3.76,2.67e-67,2.49e-63,"chr8_92627754_92628296"
"chr2",15169510,15170588,1079,"*",8.61,6.36,9.45,-3.09,3.72e-67,3.33e-63,"chr2_15169510_15170588"
