"Chick_ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Chick_Entrezid","Human_Entrezid","Symbol","TF_Status"
"ENSGALG00000000003",183.276655535927,-0.248611925119591,0.383249292675086,3.01075648182888,0.807495571718802,0.993590728142188,426934,56666,"PANX2","No"
"ENSGALG00000000011",807.914304281252,-0.209695819159713,0.278110815423889,5.59578607060246,0.46995608322516,0.863322089677182,NA,80007,"C10orf88","No"
"ENSGALG00000000044",236.429353827439,-0.648987240761421,0.670847963225655,25.3170148068284,0.000298248542443329,0.00425529633170259,NA,117166,"WFIKKN1","No"
"ENSGALG00000000048",71.3388185262089,1.05328512342882,0.683739924928021,6.05228183217878,0.417359012101816,0.824064890482199,776719,NA,NA,"No"
"ENSGALG00000000055",791.735766684576,-0.200200744265423,0.266022007723809,3.59871809523759,0.730792716740522,0.977300780428902,425210,8649,"LAMTOR3","No"
"ENSGALG00000000059",5364.64379506392,0.684096032475519,0.496470781003868,25.0486587782458,0.000334443120862619,0.00471284870050813,431043,10381,"TUBB3","No"
"ENSGALG00000000067",425.133211715683,-0.0890168553773049,0.367835554728157,2.61210835434872,0.855716011557394,1,425255,6697,"SPR","No"
"ENSGALG00000000071",297.983027686863,0.0573059459178815,0.350543944614578,7.44169981980144,0.281921513937952,0.695063852653428,101750305,NA,NA,"No"
"ENSGALG00000000081",0.889219352983291,1.67239667055787,5.19167456428877,1.26262082166417,0.973678780179296,NA,417039,NA,"IL4I1","No"
"ENSGALG00000000086",2239.17670635611,-0.403577639259404,0.204474944871449,11.3909072694681,0.0770206610036765,0.331325565382679,421147,10440,"TIMM17B","No"
"ENSGALG00000000091",1107.95544584348,0.224091802922649,0.243548119536758,5.86956275191085,0.43795939739456,0.841004034329282,419028,92105,"INTS4","No"
"ENSGALG00000000094",841.197263892391,-0.137891192824531,0.231915736460551,5.12229805581933,0.528226023301324,0.897698437074091,421148,51094,"ADIPOR1","No"
"ENSGALG00000000102",783.913629048069,-0.683399926068086,0.405665647388158,12.7628616604328,0.0469601501945093,0.237383262392851,421149,29089,"UBE2T","No"
"ENSGALG00000000104",30.6377016895228,0.278371691798725,0.794307292366517,4.44143419383391,0.617163983286479,0.94151679961984,395100,NA,NA,"No"
"ENSGALG00000000106",801.15786561844,-0.116289762409413,0.251781250790875,2.43821790879792,0.875316976895407,1,421150,55791,"LRIF1","No"
"ENSGALG00000000107",11.5374970082372,-2.92425803183135,1.33485091066212,23.6731267247055,0.000599709692366617,0.00784922816670349,417040,NA,"TRIM7.1","No"
"ENSGALG00000000109",570.109164315102,0.0437492652332947,0.455767971413129,3.27782328744456,0.773255551932038,0.988185297819753,769005,125061,"AFMID","No"
"ENSGALG00000000112",185.076651216887,0.622850612561005,0.746445427457842,39.2487012147747,6.39739530875629e-07,1.89131128591956e-05,396214,5354,"PLP1","No"
"ENSGALG00000000115",20.2796654926387,-4.81734426481005,1.59038269053032,24.1247296273733,0.000495373790556505,0.00666358991266672,395192,57152,"HEP21","No"
"ENSGALG00000000120",21.6820999221618,-0.388339032938817,1.66697280521979,21.8214314424538,0.00130446572197378,0.0150639889944033,395177,27302,"BMP10","No"
"ENSGALG00000000122",32562.4404550306,-0.12211866325207,0.358095494815879,3.78756223632558,0.705398992678285,0.971755894441165,417044,10399,"GNB2L1","No"
"ENSGALG00000000129",1554.58264918351,-0.437290697551922,0.347322877665983,7.09854887414747,0.311829594564039,0.729265872961674,425450,22980,"TCF25","Transcription Factor"
"ENSGALG00000000136",2.18320377436288,1.63071551013806,2.50227893571468,4.76394113047712,0.574426250976092,0.923729997478355,693259,NA,"BLEC2","No"
"ENSGALG00000000137",3430.25317462586,-0.291945686963966,0.365813497359452,10.5574168852146,0.103056593911975,0.39775269378092,396180,6635,"SNRPE","No"
"ENSGALG00000000141",49.6696713439516,-0.665409972775966,0.798183005875968,9.10335508753718,0.167848348878931,0.530651609402968,693256,NA,"BLB1","No"
"ENSGALG00000000142",584.72608914906,-0.0245715436338131,0.330353385288608,2.96182573531701,0.813622641099977,0.995692110062862,421152,10390,"CEPT1","No"
"ENSGALG00000000146",2551.97809838517,0.253021006169685,0.37922866083674,3.1121058808784,0.794650587742008,0.991987044699534,425418,6830,"SUPT6H","Transcription Factor"
"ENSGALG00000000150",17250.1718727326,-0.0960713207759982,0.250746680818383,7.32739936544465,0.291627623099948,0.706282889742666,425468,6133,"RPL9","No"
"ENSGALG00000000151",251.437835246053,-0.864324861871611,0.559069727070266,10.3135390425463,0.112054145681504,0.41829874966033,415600,171019,"ADAMTS19","No"
"ENSGALG00000000154",52.7151816953051,-0.134496548003848,0.837217855606612,15.2649028239001,0.0182934641388043,0.1200597724399,421153,79961,"DENND2D","No"
"ENSGALG00000000156",7707.64152439026,-0.0081970110405924,0.163561350879223,5.15447465397551,0.524158912104509,0.896609807851099,417049,6046,"BRD2","No"
