spearman,distanceToTSS,gene,PeakID,Symbol
0.16072007200720073,-57781,ENSGALG00000000690,1-194500685-194501084,GDPD4
-0.8183978397839785,-49428,ENSGALG00000000690,1-194509038-194509437,GDPD4
-1,-48915,ENSGALG00000000690,1-194509551-194509950,GDPD4
0.1263966396639664,-43698,ENSGALG00000000690,1-194514768-194515167,GDPD4
-0.9557035703570357,-17896,ENSGALG00000000690,1-194540570-194540969,GDPD4
-1,-14491,ENSGALG00000000690,1-194543975-194544374,GDPD4
0.36999699969997,-10736,ENSGALG00000000690,1-194547730-194548129,GDPD4
0.23512751275127514,-2484,ENSGALG00000000690,1-194555982-194556381,GDPD4
1,0,ENSGALG00000000690,1-194559878-194560277,GDPD4
0.06013801380138015,0,ENSGALG00000000690,1-194560700-194561099,GDPD4
1,2351,ENSGALG00000000690,1-194563214-194563613,GDPD4
0.8634863486348635,9020,ENSGALG00000000690,1-194569883-194570282,GDPD4
0.02105010501050105,27401,ENSGALG00000000690,1-194588264-194588663,GDPD4
0.473951395139514,88337,ENSGALG00000000690,1-194649200-194649599,GDPD4
-0.518943894389439,99940,ENSGALG00000000690,1-194660803-194661202,GDPD4
0.5247284728472847,126219,ENSGALG00000000690,1-194687082-194687481,GDPD4
1,131133,ENSGALG00000000690,1-194691996-194692395,GDPD4
-1,134404,ENSGALG00000000690,1-194695267-194695666,GDPD4
1,137565,ENSGALG00000000690,1-194698428-194698827,GDPD4
0.40613261326132616,-12751,ENSGALG00000000824,27-3750053-3750452,NA
0.5572397239723972,-6733,ENSGALG00000000824,27-3756071-3756470,NA
0.0380918091809181,-3815,ENSGALG00000000824,27-3758989-3759388,NA
0.7021062106210622,-1424,ENSGALG00000000824,27-3761380-3761779,NA
0.32282028202820284,3653,ENSGALG00000000824,27-3768854-3769253,NA
0.6267386738673867,7741,ENSGALG00000000824,27-3772942-3773341,NA
0.8604860486048606,10850,ENSGALG00000000824,27-3776051-3776450,NA
0.0380918091809181,28405,ENSGALG00000000824,27-3793606-3794005,NA
0.0380918091809181,29408,ENSGALG00000000824,27-3794609-3795008,NA
-0.0380918091809181,30518,ENSGALG00000000824,27-3795719-3796118,NA
0.5968316831683168,33529,ENSGALG00000000824,27-3798730-3799129,NA
0.5455025502550255,39683,ENSGALG00000000824,27-3804884-3805283,NA
-0.0422922292229223,41054,ENSGALG00000000824,27-3806255-3806654,NA
0.5786378637863787,44369,ENSGALG00000000824,27-3809570-3809969,NA
0.7287848784878488,45889,ENSGALG00000000824,27-3811090-3811489,NA
0.5606360636063606,49668,ENSGALG00000000824,27-3814869-3815268,NA
0.4873807380738074,51672,ENSGALG00000000824,27-3816873-3817272,NA
0.8655625562556256,52244,ENSGALG00000000824,27-3817445-3817844,NA
0.6286828682868286,54630,ENSGALG00000000824,27-3819831-3820230,NA
0.6913531353135314,55737,ENSGALG00000000824,27-3820938-3821337,NA
0.2772637263726373,57125,ENSGALG00000000824,27-3822326-3822725,NA
-0.6565736573657367,60063,ENSGALG00000000824,27-3825264-3825663,NA
0.4280588058805881,64340,ENSGALG00000000824,27-3829541-3829940,NA
0.813921392139214,-86006,ENSGALG00000001124,17-9436150-9436549,LHX2
0.813921392139214,-80184,ENSGALG00000001124,17-9441972-9442371,LHX2
0.29110111011101114,-77157,ENSGALG00000001124,17-9444999-9445398,LHX2
